OBJECTID,COUSUBNS,GEOID,NAMELSAD,CLASSFP,ALAND,AWATER,INTPTLAT,INTPTLON
70,1939026,4803792725,New Boston CCD,Z5,256077750,3120639,33.4781144,-94.4533716
71,1939257,4803793875,Texarkana CCD,Z5,317929248,6448147,33.4715676,-94.1229593
72,1938486,4803990055,Alvin-Pearland CCD,Z5,1063636509,70917429,29.3504557,-95.2651951
73,1938494,4803990094,Angleton CCD,Z5,807295493,37937454,29.2401808,-95.4889289
74,1938557,4803990410,Brazoria-West Columbia CCD,Z5,1211030513,117009148,29.0755364,-95.6434597
75,1938558,4803990415,Brazosport CCD,Z5,449036751,409572616,29.0155186,-95.2825364
76,1938574,4804190495,Bryan-College Station CCD,Z5,81308842,179498,30.6458882,-96.3470057
77,1939039,4804192790,Northeast Brazos CCD,Z5,664913197,4576538,30.7879855,-96.2815096
78,1939209,4804193635,South Brazos CCD,Z5,530798580,4237515,30.512442,-96.2477136
79,1939312,4804194150,West Brazos CCD,Z5,241070318,4216703,30.6624228,-96.4763999
80,1938483,4804390040,Alpine CCD,Z5,9043661624,9780950,29.6177838,-103.4706433
81,1938959,4804392390,Marathon CCD,Z5,6972209624,12281568,30.0285986,-103.0146057
82,1939116,4804593175,Quitaque CCD,Z5,861670952,1318553,34.4413683,-100.9993389
83,1939197,4804593575,Silverton CCD,Z5,1469320121,2750104,34.529239,-101.2857847
84,1938727,4804791245,Encino CCD,Z5,1939260307,303284,26.9784359,-98.2229432
85,1938733,4804791280,Falfurrias CCD,Z5,504016707,438343,27.218891,-98.2431204
86,1938515,4804990200,Bangs CCD,Z5,582334758,22305421,31.7897861,-99.1115934
87,1938542,4804990335,Blanket CCD,Z5,484863772,1304843,31.7413525,-98.8472639
88,1938572,4804990485,Brownwood CCD,Z5,764092052,2744776,31.6088836,-99.0157863
89,1938978,4804992485,May CCD,Z5,614829664,6020484,31.9722689,-98.9991512
90,1938589,4805190570,Caldwell CCD,Z5,673528586,7826195,30.5326884,-96.7615848
91,1938643,4805190825,Cooks Point CCD,Z5,254952232,3614063,30.6293963,-96.6280153
92,1939059,4805192890,Old River CCD,Z5,538489365,8647311,30.4627961,-96.4513889
93,1939204,4805193610,Somerville CCD,Z5,240045526,25955667,30.3579351,-96.6081980
94,1938530,4805390275,Bertram CCD,Z5,211352225,509398,30.7483472,-98.0417334
95,1938565,4805390450,Briggs CCD,Z5,583852112,2225566,30.9346724,-98.0009611
96,1938584,4805390545,Burnet CCD,Z5,1183865438,41278758,30.8399436,-98.2649456
97,1938960,4805392395,Marble Falls CCD,Z5,597456090,25842414,30.5612174,-98.2493812
98,1938930,4805592245,Lockhart CCD,Z5,651426634,2020237,29.9104988,-97.6233928
99,1938947,4805592330,Luling CCD,Z5,527262269,1291049,29.7544369,-97.5288158
100,1938969,4805592440,Martindale CCD,Z5,231665128,1634902,29.8316191,-97.7886427
101,1938876,4805791975,Kamey-Sixmile CCD,Z5,185928467,5502288,28.6145278,-96.7401614
102,1939098,4805793085,Point Comfort CCD,Z5,142791330,335677402,28.6371664,-96.4564313
103,1939102,4805793105,Port Lavaca CCD,Z5,251543510,68982885,28.5627461,-96.6098833
104,1939178,4805793480,Seadrift CCD,Z5,732697467,951468426,28.3529947,-96.6447735
105,1938511,4805990180,Baird CCD,Z5,840470995,1705312,32.3876139,-99.2836099
106,1938631,4805990765,Clyde CCD,Z5,877889452,2227033,32.3011068,-99.5224739
107,1938660,4805990910,Cross Plains CCD,Z5,611002795,966438,32.1764437,-99.2500968
108,1938571,4806190480,Brownsville CCD,Z5,349243104,15954571,25.9648763,-97.5121795
109,1938701,4806191115,East Cameron CCD,Z5,442579514,836215360,26.1503878,-97.2978489
110,1938825,4806191720,Harlingen-San Benito CCD,Z5,826872704,18223935,26.1883773,-97.7323124
111,1938940,4806192295,Los Fresnos-Laureles CCD,Z5,325357433,13528141,26.1029227,-97.4789584
112,1939130,4806193245,Rio Hondo CCD,Z5,365466246,112496652,26.2713946,-97.4414470
113,1938915,4806392170,Leesburg-Newsome CCD,Z5,110231103,5838882,32.9718543,-95.1119354
114,1939091,4806393050,Pittsburg CCD,Z5,397011261,13290493,32.9726018,-94.9455176
115,1939074,4806592965,Panhandle CCD,Z5,1396566890,4818067,35.4058127,-101.4606596
116,1939321,4806594195,White Deer-Groom CCD,Z5,986830337,5208537,35.4005703,-101.1944209
117,1938507,4806790160,Atlanta CCD,Z5,499773714,29686923,33.1763555,-94.1289321
118,1938539,4806790320,Bivins-McLeod CCD,Z5,286232291,902835,32.981902,-94.1422009
119,1938851,4806791850,Hughes Springs-Avinger CCD,Z5,360836792,2559430,32.9855339,-94.5751018
120,1938924,4806792215,Linden CCD,Z5,705649648,2492577,32.9856172,-94.3504148
121,1938962,4806792405,Marietta-Douglassville CCD,Z5,574191048,24852383,33.1860342,-94.4665979
122,1938690,4806991059,Dimmitt CCD,Z5,1183278711,6140953,34.6282239,-102.2579652
123,1938691,4806991732,Hart CCD,Z5,1133321682,6416461,34.4210182,-102.2562049
124,1938490,4807190075,Anahuac CCD,Z5,860216110,655641153,29.6720766,-94.6952578
125,1939005,4807192620,Mont Belvieu CCD,Z5,307460923,40894007,29.781705,-94.8433645
126,1939331,4807194245,Winnie-Stowell CCD,Z5,378748507,13300984,29.7516267,-94.4207155
127,1938484,4807390045,Alto CCD,Z5,486888163,1599917,31.5973127,-95.0840369
128,1938863,4807391910,Jacksonville CCD,Z5,465068712,6109089,31.9624062,-95.3042099
129,1939015,4807392670,Mount Selman CCD,Z5,243972789,7942079,32.0885442,-95.2914109
130,1939030,4807392745,New Summerfield CCD,Z5,451545809,6528018,32.0138829,-95.0659998
131,1939156,4807393370,Rusk CCD,Z5,841939018,1367774,31.7969637,-95.1931851
132,1939309,4807394135,Wells CCD,Z5,237727235,326124,31.493614,-95.0032892
133,1938618,4807590700,Childress CCD,Z5,1026499586,29795488,34.4360735,-100.2044841
134,1939047,4807592777,North Childress CCD,Z5,777455040,14765167,34.6551833,-100.2138749
135,1938524,4807790245,Bellevue-Joy CCD,Z5,1023637789,12312662,33.5883627,-98.1801246
136,1938587,4807790560,Byers-Petrolia CCD,Z5,714631506,4086436,34.0289741,-98.2215497
137,1938837,4807791780,Henrietta CCD,Z5,1081602563,56107762,33.8040645,-98.2410671
138,1939011,4807992650,Morton CCD,Z5,1462566457,229068,33.632375,-102.8758920
139,1939322,4807994200,Whiteface CCD,Z5,544887373,0,33.5075915,-102.7074660
140,1938567,4808190460,Bronte CCD,Z5,902315267,11671032,31.9177569,-100.3602357
141,1939134,4808193265,Robert Lee CCD,Z5,1458837931,30660800,31.8771104,-100.6352305
142,1938634,4808390780,Coleman CCD,Z5,803996165,2915967,31.9142052,-99.3466223
143,1939054,4808392865,Novice CCD,Z5,616151238,9375953,31.9724919,-99.5761875
144,1939172,4808393450,Santa Anna CCD,Z5,884824294,4374173,31.6236699,-99.3216018
145,1939248,4808393830,Talpa CCD,Z5,965961527,31297250,31.6624943,-99.5994714
146,1938495,4808590100,Anna CCD,Z5,340518021,4599250,33.3263792,-96.5808106
147,1938545,4808590350,Blue Ridge CCD,Z5,319677921,3359662,33.2938686,-96.3962069
148,1938611,4808590665,Celina CCD,Z5,287525891,3725642,33.3015372,-96.7577890
149,1938736,4808591295,Farmersville CCD,Z5,199585271,29826199,33.1421004,-96.3736758
150,1938953,4808592360,McKinney CCD,Z5,254069155,1888833,33.1726552,-96.7272196
151,1939025,4808592720,Nevada CCD,Z5,152156181,15277924,33.0280851,-96.3874836
152,1939094,4808593065,Plano CCD,Z5,493821727,19560754,33.0597936,-96.6615259
153,1939111,4808593150,Princeton CCD,Z5,131484980,37312464,33.154759,-96.5031970
154,1939162,4808793400,Samnorwood CCD,Z5,1147699950,428322,35.0739873,-100.2468346
155,1939308,4808794130,Wellington CCD,Z5,1231049978,1850872,34.8745551,-100.2843406
156,1938638,4808990800,Columbus CCD,Z5,760548212,8601877,29.7728806,-96.5290507
157,1938697,4808991095,Eagle Lake CCD,Z5,497772540,12912270,29.6214401,-96.3500157
158,1938771,4808991470,Garwood CCD,Z5,671658460,10189180,29.4485607,-96.5196656
159,1939306,4808994120,Weimar CCD,Z5,557163501,2987841,29.6226197,-96.7027351
160,1938639,4809190627,Canyon Lake CCD,Z5,858445137,36091295,29.8525121,-98.3259528
161,1939027,4809192730,New Braunfels CCD,Z5,590725924,3675658,29.7588173,-98.1910676
162,1938640,4809390810,Comanche CCD,Z5,1084775312,7187874,31.9169411,-98.6637063
163,1938675,4809390985,De Leon CCD,Z5,628434688,15815194,32.110318,-98.5976725
164,1938814,4809391665,Gustine CCD,Z5,715558926,2716417,31.8550383,-98.3741211
165,1938710,4809591160,Eden-Millersview CCD,Z5,1876539895,24442335,31.2748106,-99.8239970
166,1938729,4809591255,Eola-Paint Rock CCD,Z5,671374110,1297690,31.4776563,-99.9657071
167,1938591,4809790580,Callisburg CCD,Z5,564591305,5933144,33.7657734,-97.0719251
168,1938764,4809791435,Gainesville CCD,Z5,79427440,140265,33.6392612,-97.1472680
169,1938765,4809791440,Gainesville Southeast CCD,Z5,281459566,38959858,33.5129592,-97.0162459
170,1939017,4809792680,Muenster CCD,Z5,628073094,5797336,33.7366472,-97.3545420
171,1939281,4809793995,Valley View CCD,Z5,712238480,10488724,33.5090619,-97.2943810
172,1938647,4809990845,Copperas Cove CCD,Z5,115996028,48709,31.1763459,-97.9558116
173,1938731,4809991270,Evant CCD,Z5,490617799,29429,31.3743019,-98.0194729
174,1938740,4809991315,Flat CCD,Z5,149096067,6100781,31.3125095,-97.5699494
175,1938751,4809991370,Fort Hood CCD,Z5,611381299,299284,31.2491834,-97.7630987
176,1938773,4809991480,Gatesville CCD,Z5,268933936,198184,31.4327695,-97.7015028
177,1939058,4809992885,Oglesby CCD,Z5,320428441,4867321,31.4441495,-97.5618929
178,1939037,4809993157,Purmela-Levita CCD,Z5,418597439,171022,31.4652434,-97.9120803
179,1939275,4809993965,Turnersville CCD,Z5,350257510,118914,31.5841785,-97.7553388
180,1939067,4810192930,Paducah North CCD,Z5,1418032784,841819,34.1670382,-100.2986684
181,1939068,4810192935,Paducah South CCD,Z5,914415948,1882178,33.9370021,-100.2542880
182,1938654,4810390880,Crane North CCD,Z5,1248459041,583619,31.5430597,-102.5702518
183,1938655,4810390885,Crane South CCD,Z5,784860646,1112361,31.2851023,-102.4605273
184,1938702,4810591120,East Crockett CCD,Z5,4323584461,44828,30.6664672,-101.2213914
185,1939314,4810594160,West Crockett CCD,Z5,2947350600,8501,30.7556621,-101.7259957
186,1938659,4810790905,Crosbyton CCD,Z5,1056088719,3813785,33.6331748,-101.1785157
187,1938939,4810792290,Lorenzo CCD,Z5,524602800,51630,33.5857708,-101.5056320
188,1939118,4810793185,Ralls CCD,Z5,750811910,8142,33.6014344,-101.3498670
189,1939284,4810994010,Van Horn CCD,Z5,355064063,83160,31.0812687,-104.8189471
190,1939285,4810994015,Van Horn Rural CCD,Z5,9518375491,472974,31.4694107,-104.5028432
191,1938669,4811190955,Dalhart CCD,Z5,3208804146,1714324,36.2599423,-102.5246495
192,1939259,4811193885,Texline CCD,Z5,684290938,3466253,36.3520121,-102.9272158
193,1939038,4811392792,Northeast Dallas CCD,Z5,1176785585,51073199,32.8294489,-96.6883192
194,1939217,4811393682,Southwest Dallas CCD,Z5,1084415738,40825027,32.6984258,-96.8763430
195,1938902,4811592105,Lamesa CCD,Z5,129550435,261811,32.7394955,-101.9596293
196,1938903,4811592110,Lamesa Northeast CCD,Z5,630497179,1680510,32.8599155,-101.8360126
197,1938904,4811592115,Lamesa Northwest CCD,Z5,540120557,761272,32.8339424,-102.1035676
198,1938905,4811592120,Lamesa Southeast CCD,Z5,505317777,928387,32.6330641,-101.7921892
199,1938906,4811592125,Lamesa Southwest CCD,Z5,526295613,1088750,32.6169419,-102.0722086
200,1938838,4811791785,Hereford East CCD,Z5,1110816094,1058130,34.9551498,-102.2927854
201,1938839,4811791790,Hereford West CCD,Z5,2765934474,2868427,34.9589772,-102.7255350
202,1938646,4811990840,Cooper CCD,Z5,410150701,37194252,33.4123269,-95.5975756
203,1939078,4811992985,Pecan Gap CCD,Z5,255041407,17453928,33.3632487,-95.8025260
204,1938832,4812190637,Carrollton CCD,Z5,88635542,826176,33.0291096,-96.8958517
205,1938680,4812191010,Denton CCD,Z5,210927048,3183047,33.2436015,-97.1514383
206,1938875,4812191970,Justin-Roanoke CCD,Z5,573178285,14236999,33.0986034,-97.2681582
207,1938918,4812192186,Lewisville-Flower Mound CCD,Z5,287456638,50091379,33.0898216,-97.0505060
208,1939088,4812193035,Pilot Point-Aubrey CCD,Z5,495329287,64938842,33.2932904,-96.9473370
209,1939167,4812193425,Sanger CCD,Z5,526134776,31108138,33.3440462,-97.2501558
210,1938636,4812193892,The Colony CCD,Z5,93656669,25087338,33.1097587,-96.9084734
211,1938663,4812390925,Cuero CCD,Z5,408515992,1148144,29.0928838,-97.1908521
212,1939316,4812394170,Westhoff-Arneckville CCD,Z5,772423959,760669,29.0754188,-97.3581848
213,1939341,4812394295,Yoakum CCD,Z5,460578327,1202944,29.2298161,-97.1890550
214,1939343,4812394305,Yorktown CCD,Z5,712719687,808162,28.9897045,-97.5528909
215,1938688,4812591050,Dickens CCD,Z5,1642857376,6343187,33.6747923,-100.7672551
216,1939223,4812593705,Spur CCD,Z5,692597300,2714661,33.4706236,-100.8230555
217,1938503,4812790140,Asherton CCD,Z5,1638556557,8588583,28.3264611,-99.6808799
218,1938537,4812790310,Big Wells CCD,Z5,680090392,2708458,28.5548238,-99.5604962
219,1938602,4812790635,Carrizo Springs CCD,Z5,1123148954,3278958,28.4763945,-99.9648706
220,1938624,4812990730,Clarendon CCD,Z5,1727454226,13709865,34.9790497,-100.8719640
221,1938833,4812991760,Hedley CCD,Z5,673221872,2191991,34.8579523,-100.6733638
222,1938527,4813190260,Benavides CCD,Z5,1403835741,549463,27.6102441,-98.5116768
223,1938758,4813191405,Freer CCD,Z5,1086272975,1983690,27.9109076,-98.6350258
224,1939124,4813193215,Realitos-Concepcion CCD,Z5,1274214516,588607,27.4153116,-98.5432471
225,1939166,4813193420,San Diego CCD,Z5,880761436,2356507,27.8873624,-98.3460839
226,1938623,4813390725,Cisco CCD,Z5,543674754,2649314,32.3922949,-99.0140210
227,1938705,4813391135,Eastland CCD,Z5,394650747,8274017,32.417369,-98.8061548
228,1938795,4813391590,Gorman CCD,Z5,545484803,1269173,32.2509271,-98.7127383
229,1939119,4813393190,Ranger CCD,Z5,426542611,1449006,32.4328061,-98.5750045
230,1939131,4813393250,Rising Star CCD,Z5,489291876,360789,32.1532269,-98.9899396
231,1939056,4813592875,Odessa CCD,Z5,619629388,4117639,31.9328159,-102.3687865
232,1938786,4813594173,West Odessa-Goldsmith CCD,Z5,1705811459,6138943,31.7992171,-102.6330087
233,1939141,4813793300,Rocksprings North CCD,Z5,1700041980,1189574,30.202115,-100.1063272
234,1939142,4813793305,Rocksprings South CCD,Z5,3785221240,4006738,29.9044644,-100.3531109
235,1938728,4813991250,Ennis CCD,Z5,534489668,17688414,32.3450466,-96.5709710
236,1938739,4813991310,Ferris CCD,Z5,288269422,2726456,32.4888712,-96.6337974
237,1938860,4813991895,Italy CCD,Z5,379880783,3970321,32.1750728,-96.9275869
238,1938979,4813992490,Maypearl CCD,Z5,232290605,2512260,32.3304399,-96.9830067
239,1938995,4813992570,Midlothian CCD,Z5,218315834,3068363,32.4803123,-97.0134796
240,1939300,4813994090,Waxahachie CCD,Z5,770329414,12010318,32.3607682,-96.8256498
241,1938721,4814191215,El Paso CCD,Z5,372947353,1282898,31.7222308,-106.3116194
242,1938722,4814191220,El Paso East CCD,Z5,1441940063,1854209,31.6739007,-106.1172808
243,1938723,4814191225,El Paso North Central CCD,Z5,464359260,1020545,31.9239638,-106.2337828
244,1938724,4814191230,El Paso Northwest CCD,Z5,345017792,1164491,31.9491855,-106.5291621
245,1938695,4814391085,Dublin CCD,Z5,456960536,2885673,32.1080916,-98.3642916
246,1939230,4814391087,Duffau-Clairette CCD,Z5,610004540,4665335,32.0762053,-98.0734275
247,1939010,4814392645,Morgan Mill-Bluff Dale CCD,Z5,816299517,3505388,32.4195165,-98.2281988
248,1939229,4814393735,Stephenville CCD,Z5,922155109,6110332,32.2447199,-98.2381340
249,1938620,4814590710,Chilton CCD,Z5,348474057,4291444,31.3006694,-97.1081061
250,1938941,4814592300,Lott CCD,Z5,298483119,2882683,31.1954531,-97.0770741
251,1938966,4814592425,Marlin CCD,Z5,281883694,5188533,31.3409711,-96.8740385
252,1939081,4814593000,Perry CCD,Z5,230514004,2147954,31.434271,-96.8737930
253,1939123,4814593210,Reagan CCD,Z5,453508425,4181740,31.2436526,-96.7514645
254,1939147,4814593330,Rosebud CCD,Z5,369759800,3000699,31.0918001,-96.9787379
255,1938550,4814790375,Bonham CCD,Z5,267399053,2071733,33.5543462,-96.1967636
256,1938692,4814791070,Dodd City CCD,Z5,298689372,762775,33.5558209,-96.0398889
257,1938708,4814791150,Ector CCD,Z5,232114027,4346901,33.604307,-96.3296130
258,1938846,4814791825,Honey Grove CCD,Z5,373093286,2075212,33.6189537,-95.9156163
259,1938896,4814792075,Ladonia CCD,Z5,121768584,380616,33.4267025,-95.9806984
260,1938916,4814792175,Leonard CCD,Z5,404552021,1173151,33.4259951,-96.2277960
261,1939121,4814793200,Ravenna-Telephone CCD,Z5,609634709,10036677,33.7494642,-96.0848874
262,1938738,4814991305,Fayetteville CCD,Z5,278178768,9259484,29.9298156,-96.6920007
263,1938741,4814991320,Flatonia CCD,Z5,684205458,974676,29.7632753,-97.1150729
264,1938897,4814992080,La Grange CCD,Z5,352793378,5997723,29.9799843,-96.8900498
265,1938898,4814992085,La Grange West CCD,Z5,426863498,4568122,29.9023861,-96.9830748
266,1939151,4814993345,Round Top CCD,Z5,365033171,3821680,30.06987,-96.7569737
267,1939177,4814993475,Schulenburg CCD,Z5,353242630,952977,29.7331345,-96.8591977
268,1938951,4815192350,McCaulley CCD,Z5,380466398,2072960,32.8577499,-100.2392840
269,1939136,4815193275,Roby CCD,Z5,1308923419,4090575,32.6420058,-100.3982035
270,1939150,4815193340,Rotan CCD,Z5,638882286,1094945,32.8634386,-100.5011746
271,1938744,4815391335,Floydada CCD,Z5,1168453777,320386,33.9417578,-101.2985920
272,1938931,4815392250,Lockney CCD,Z5,1401183506,663351,34.1790496,-101.3011595
273,1938661,4815590915,Crowell CCD,Z5,1443767605,5959279,33.9790879,-99.8647633
274,1939260,4815593890,Thalia CCD,Z5,380611026,2555462,33.9211828,-99.5363172
275,1938760,4815791415,Fulshear-Simonton CCD,Z5,417138777,12875257,29.6891457,-95.8639849
276,1939024,4815792715,Needville CCD,Z5,500166932,7761592,29.3721606,-95.7790654
277,1939064,4815792915,Orchard-Kendleton CCD,Z5,321687927,4618684,29.5291701,-95.9737866
278,1939149,4815793337,Rosenberg-Richmond CCD,Z5,529882732,19742423,29.5021791,-95.7381330
279,1939225,4815793715,Stafford-Missouri City CCD,Z5,215588175,5993316,29.5395885,-95.5044060
280,1939238,4815793780,Sugar Land CCD,Z5,247372291,9959409,29.6183942,-95.6550966
281,1939016,4815992675,Mount Vernon CCD,Z5,609322643,18117396,33.2139264,-95.2197247
282,1939332,4815994250,Winnsboro CCD,Z5,127247292,8757724,33.0072779,-95.2204634
283,1938586,4816190555,Butler CCD,Z5,512461920,4552021,31.6437324,-95.9556800
284,1938732,4816191275,Fairfield CCD,Z5,716097861,29711746,31.8197338,-96.1211602
285,1939252,4816193850,Teague CCD,Z5,771275047,1952214,31.5977027,-96.2466015
286,1939340,4816194290,Wortham CCD,Z5,273477038,720982,31.799475,-96.3469868
287,1938689,4816391055,Dilley CCD,Z5,542589303,135743,28.7244583,-99.2685984
288,1939008,4816392635,Moore CCD,Z5,470745487,354723,29.017102,-98.9307806
289,1939077,4816392980,Pearsall CCD,Z5,1922418712,1703155,28.8748527,-99.1093364
290,1939179,4816593485,Seagraves CCD,Z5,1134386327,1198499,32.8606424,-102.4562003
291,1939186,4816593520,Seminole CCD,Z5,2756716140,64447,32.6898648,-102.7244344
292,1938549,4816790370,Bolivar Peninsula CCD,Z5,137491154,725494718,29.4621074,-94.6771549
293,1938766,4816791445,Galveston CCD,Z5,108415015,510669647,29.233453,-94.8884558
294,1938901,4816792100,La Marque-Hitchcock CCD,Z5,193973081,22833335,29.3036252,-95.0323847
295,1939258,4816793880,Texas City-League City CCD,Z5,542467076,22013655,29.438943,-95.0649056
296,1939104,4816993108,Post East CCD,Z5,1394213281,5711371,33.1514982,-101.1985034
297,1939103,4816993118,Post West CCD,Z5,919723843,1497871,33.2176914,-101.4441616
298,1938756,4817191395,Fredericksburg CCD,Z5,742109472,2417353,30.3250929,-98.9418498
299,1938826,4817191725,Harper CCD,Z5,1033243321,1521075,30.3509668,-99.1649194
300,1938757,4817193757,Stonewall CCD,Z5,965378512,5062173,30.3169539,-98.6940603
301,1938768,4817391455,Garden City North CCD,Z5,1219156985,1191071,31.971364,-101.5040105
302,1938769,4817391460,Garden City South CCD,Z5,1112395989,1054231,31.7630407,-101.5509182
303,1938788,4817591555,Goliad North CCD,Z5,646554341,5126202,28.7573026,-97.4248165
304,1938789,4817591560,Goliad South CCD,Z5,1163945764,6065195,28.5095681,-97.4804022
305,1939305,4817594115,Weesatche-Ander CCD,Z5,396198507,7858618,28.8281756,-97.3244089
